,Title,Date,Ship,Ship_category,Summary,Language,Word_Count,Comments,Chapters,Kudos,Bookmarks,Hits
71,Kill Your Darlings,2023,Regulus Black/James Potter,Multi,"Kill Your Darlings: To remove or refrain from using something in spite of one's affection for itYears after Regulus loses his brother they're reunited, and as he struggles to figure out where he fits in Sirius's life he also struggles not to get lost in the impossible feelings he has for Sirius's best friend.",English,"303,706","4,871",28/28,"22,861","6,463","1,178,426"
72,The Untouchable,2020,Harry Potter/Tom Riddle | Voldemort,M/M,"When he's little, Harry discovers something Very Special: he can make his wishes come true.Literally.In which a young boy discovers a way to slide under the radar and the profound consequences that follow. What happens when you've taught yourself to become untouchable?Rated M for a lack of moral conscience, the occasional murder, and a graphic dark theme here and there (because why not?). Happily Ever After, Voldemort style.Translation into 中文-普通话 國語 available触不可及by the wonderfulEntropy843Translation into Polski availableNietykalnyby the lovelyZikonest",English,"74,840","1,819",14/14,"22,860","7,110","360,551"
73,The Source of Grief,2019,Many People & Harry Potter,Gen,"No one had ever met Hadrian Gaunt before the man suddenly whirled into their lives and started fixing problems they didn't even know existed.And yet, not a single person regretted meeting him.",English,"14,938",571,2/2,"22,845","5,488","172,177"
74,Only the Brave,2023,Regulus Black/James Potter,F/F,"Regulus Black is angry. He wants revenge. He wants to watch the world burn for all it's done to him. He also wants to make out with James Potter, but that's a secret he'll take to the grave. Vengeance is more important than... whatever it is that chokes him when he lays eyes on Potter.James Potter is confused, because Regulus Black is, all of a sudden, hot. And it's unfair because Sirius is going to kill him if he doesn't get his impulse control in line.ORA fic about two idiots falling in love (x2 because there's wolfstar, too) during a war, and the sacrifices they'll have to make to survive it.",English,"645,945","7,386",64/64,"22,753","7,243","1,379,172"
75,"Draco Malfoy, It's Your Lucky Day",2012,Draco Malfoy/Harry Potter,M/M,"Even though he's unarmed, injured, lost in the Forbidden Forest, and facing a possible murder charge, Draco Malfoy gets lucky.",English,"37,382",567,1/1,"22,732","5,303","369,364"
76,Draco Malfoy and the Heir of Slytherin,2020,Draco Malfoy/Harry Potter,Gen,"Draco Malfoy never asked for a second chance, nor did he particularly want one. But he found himself in his old body at eleven, and after a year at Hogwarts, he has a plan for the year before him: keep to himself, find Dobby, improve relations with fellow Slytherins to cordial but distant, get over this stupid obsession with Harry Potter, and no more jokes about controlling a Malfoy mountain troll. No one else thinks they're funny. And no more cursing people- well, only as many people as necessary...Draco Malfoy has never been very good at following plans.",English,"94,423","2,026",17/17,"22,492","1,477","403,758"
77,Little Talks,2012,Draco Malfoy/Harry Potter,M/M,"Draco's been shagging the Head Auror for months now, and he's sure it's just a fling. Until Harry asks him to a Quidditch match, that is, and things go horribly wrong.",English,"11,351",246,1/1,"22,470","3,878","285,588"
78,Stately Homes of Wiltshire,2016,Draco Malfoy/Harry Potter,M/M,"Malfoy Manor has mould, dry rot and an infestation of unusually historical poltergeists. Harry Potter is on the case.",English,"57,582","1,244",6/6,"22,371","7,063","362,939"
79,The Debt of Time,2017,Sirius Black/Hermione Granger,Multi,"When Hermione finds a way to bring Sirius back from the veil, her actions change the rest of the war. Little does she know her spell restoring him to life provokes magic she doesn't understand and sets her on a path that ends with a Time-Turner.",English,"715,940","7,393",154/154,"22,042","9,985","2,065,524"
80,In Need of a Proper Hug,2012,Draco Malfoy/Harry Potter,M/M,"Draco rescues a poor, poor koala, which won't stop hugging him. Inspired bythis pic of DanRadhugging Jack Huston aka Jack Kerouac inKill Your Darlings,and this comment: ""I've decided that he is part koala, and I think you should write a story where Harry becomes an Animagus, turns into a koala, and clings constantly to Draco."" Beware of cute. Bring a toothbrush.",English,"2,086",227,1/1,"21,953","2,558","189,334"
81,A Convenient Impracticality,2015,Draco Malfoy/Harry Potter,M/M,"Somehow Harry ends up agreeing to a fake relationship with his ex-nemesis-turned-friendly-acquaintance-with-benefits, except for some reason it involves an awful lot of actual dating and, sadly, not much sex. Confused? Harry is too, but when has anything with Draco Malfoy ever been as straightforward as it seems?",English,"38,540",875,1/1,"21,949","5,842","350,687"
82,Secrets and Masks,2022,Hermione Granger/Draco Malfoy,No category,"9 years after the battle of Hogwarts, the war still rages on and everyone is much changed since their days at Hogwarts.Hermione is the most lethal soldier in The Order, spending her days on rescue missions to free captured Muggleborn slaves and fight on the front line. For years, she's been meeting in secret with a spy within Voldemort's ranks to exchange information.But when she's captured and made prisoner at Malfoy Manor, of all the dark and evil ways she'd envisioned Malfoy would torture her, she never quite imagined anything this horrific.I just wanted to make it abundantly clear that I was originally inspired to write this fic after I read the masterpiece that is Manacled, so I would like to thank SenLinYu for her amazing work! The memory searching aspect of Manacled is what inspired me, and although I have adapted that, (and also made Draco head Death Eater, because... ya know... we all love it when he's Voldemort's right hand man 😅😉), Secrets and Masks will be a very very different fic all together.",English,"454,499","4,562",75/75,"21,629","7,352","1,682,219"
83,Stealing Harry,2004,Sirius Black/Remus Lupin,M/M,"In an alternate universe where Sirius Black never went to Azkaban, Harry divides his life between the Dursleys' house and Mr. Black's bookshop -- until Sirius realises what the Dursleys are doing to him, and takes him away from their care.",English,"99,937","1,374",11/11,"21,194","5,624","718,451"
84,Harry Potter and the Welcome to the World of Grey,2020,Draco Malfoy/Harry Potter,M/M,"When Harry fails to keep his anger at bay and Voldemort possesses his mind, the events that follow lead him down a long road to realizing the world isn't as black and white as it seems.Chaos, hilarity, and tragedy ensue with a Dark Lord being honest all the time, a rival becoming something else, and a world demanding to be saved. Featuring frightened Death Eaters, deep conversations with a monster, Pureblood traditions being ridiculous, and the fight to do the right thing with no true options.Harry's life just gets more and more bizarre with each passing moment.~~~Or, the one where Harry's life gets split in half, and he has to figure out how to bring it back together.",English,"456,640","4,097",30/30,"21,082","7,005","1,068,640"
85,The Lip-Lock Jinx,2016,Draco Malfoy/Harry Potter,M/M,"It's a jinx that renders the victim mute, unless he/she serves the purpose of the jinx and kisses the person that they desire. It's just Harry's luck that he's in love with Draco. HPDM, one-shot, eighth year.",English,"20,468",262,1/1,"21,044","4,033","177,762"
86,quite like us,2022,Regulus Black/James Potter,M/M,"[18:12]Seriously, wrong number. Don’t send shirtless pictures to strangers.[18:13] Padfoot, this rejection hurts.[18:16]What’s a Padfoot?[18:17] Wait, is this actually not Padfoot?[18:19]I don’t even know what that is, but no. I’m not a Padfoot.",English,"67,315","1,468",16/16,"21,027","4,270","356,174"
87,Magic and Mystery,2021,N/A,Gen,"Dazai is going to Hogwarts—which is crazy because he doesn’t have magic. He has a nullifying ability, for goodness’ sake! Not that it matters. Dazai is still willing to stick around and cause trouble before he gets shipped back home and stuck in his room again.And this Quirrell guy is definitely up to something. So that’s a good place to start.",English,"209,039","2,345",55/55,"20,887","2,172","559,795"
88,"Whatever happened to the young, young lovers?",2023,Regulus Black/James Potter,F/F,"Regulus Black, presumed dead for over 2 years, shows up at an Order of the Phoenix meeting with 6 mangled horcruxes and Voldemort's corpse.How does the wizarding world move on following the abrupt end of the war, and how does Regulus come to terms with the last four years of his life?Not on his own evidently, as his brother makes an effort to return to his life, James Potter tries to weasel his way into his heart and the friends he left behind in the name of the war aren't willing to leave him alone any longer.An endgame jegulus, wolfstar and rosekiller longfic with regular updates, angst and drama.",English,"355,702","3,295",42/42,"20,830","6,317","997,631"
89,Lord of Time,2023,Harry Potter/Tom Riddle,M/M,"Harry Potter is the Master of Death and Lord of Time through his joining of the three Hallows together. During a duel that wasn't going well, he jumps to the 1940's and has a talk with the true Master of Death. Can harry prevent the destruction that will occur? Can he change Voldemort prevent him from becoming the darkest wizard of all time? Or will he be caught in Tom's web? Slash TMR/HP?",English,"494,607","4,942",107/107,"20,613","5,056","1,014,143"
90,Let's Try Again,2019,James Potter/Severus Snape,Multi,After the war Harry Potter's world falls apart. Then he is offered a chance to try and make a better future for himself and his friends. Of course things are never simple.,English,"618,096","2,447",29/29,"20,591","6,963","1,345,593"
91,Draco Malfoy and the House of Black,2020,Draco Malfoy/Harry Potter,Gen,"After going back in time, Draco has tried to follow the path he remembers. But third year brings a new Ravenclaw cousin, a new Boggart, and a newly admiring Harry Potter, along with castle grounds full of Dementors and what they make him remember. With secrets of his mother's family coming to light, and a godfather he understands far less than he ever thought, Draco will discover that the time in which he can remain passive in the new timeline has finally come to a close.",English,"123,794","2,424",20/20,"20,451","1,288","423,197"
